"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s36","Difficult",0.5,"C","D","row","inc_rate",0.744265751396744,0.33,0.0312001556884925,0.95
"s37","VeryDifficult",0,"A","A","cset","err_rate",0.141992340971327,0.755,0.0544784049623268,0.95
"s37","VeryDifficult",0,"A","A","cset","inc_rate",0.583192202016222,0.795,0.0979669649080272,0.95
"s37","VeryDifficult",0,"A","A","examiner","err_rate",0.142345692318978,0.91,0.074325963486109,0.95
"s37","VeryDifficult",0,"A","A","examiner","inc_rate",0.583858277541998,0.8,0.10192089575724,0.95
"s37","VeryDifficult",0,"A","A","row","err_rate",0.142742863870816,0.61,0.0389400211983705,0.95
"s37","VeryDifficult",0,"A","A","row","inc_rate",0.583958306993197,0.405,0.0355643316673346,0.95
"s38","VeryDifficult",0,"B","B","cset","err_rate",0.198807281069331,0.81,0.0789647355170847,0.95
"s38","VeryDifficult",0,"B","B","cset","inc_rate",0.672645562950318,0.79,0.0990772554618122,0.95
"s38","VeryDifficult",0,"B","B","examiner","err_rate",0.197721157821479,0.87,0.093977921552019,0.95
"s38","VeryDifficult",0,"B","B","examiner","inc_rate",0.671394458900417,0.78,0.0909727090378868,0.95
"s38","VeryDifficult",0,"B","B","row","err_rate",0.199099438845025,0.63,0.0502249155065409,0.95
"s38","VeryDifficult",0,"B","B","row","inc_rate",0.673518141067661,0.39,0.0336109971768041,0.95
"s39","VeryDifficult",0,"C","C","cset","err_rate",0.264574962067502,0.835,0.115565534699508,0.95
"s39","VeryDifficult",0,"C","C","cset","inc_rate",0.746642841824474,0.83,0.0973317148146637,0.95
"s39","VeryDifficult",0,"C","C","examiner","err_rate",0.265322109625794,0.81,0.112359158816707,0.95
"s39","VeryDifficult",0,"C","C","examiner","inc_rate",0.746896172215526,0.74,0.0764431510987458,0.95
"s39","VeryDifficult",0,"C","C","row","err_rate",0.266223674849467,0.58,0.06339708016987,0.95
"s39","VeryDifficult",0,"C","C","row","inc_rate",0.748774223653426,0.35,0.0308992032443795,0.95
"s40","VeryDifficult",0,"C","D","cset","err_rate",0.268089642755265,0.81,0.125017748531603,0.95
"s40","VeryDifficult",0,"C","D","cset","inc_rate",0.774980898785688,0.83,0.0947283938816481,0.95
"s40","VeryDifficult",0,"C","D","examiner","err_rate",0.266569763236087,0.805,0.116525214518801,0.95
"s40","VeryDifficult",0,"C","D","examiner","inc_rate",0.773757523067777,0.69,0.0711141753089975,0.95
"s40","VeryDifficult",0,"C","D","row","err_rate",0.266282818837336,0.585,0.0676964850830799,0.95
"s40","VeryDifficult",0,"C","D","row","inc_rate",0.775364619753632,0.355,0.029688056746246,0.95
"s41","VeryDifficult",0.2,"A","A","cset","err_rate",0.14063357662317,0.795,0.0556628077789142,0.95
"s41","VeryDifficult",0.2,"A","A","cset","inc_rate",0.599086748413186,0.785,0.0978856311301507,0.95
"s41","VeryDifficult",0.2,"A","A","examiner","err_rate",0.140980213604697,0.905,0.0754545583200855,0.95
"s41","VeryDifficult",0.2,"A","A","examiner","inc_rate",0.598618871327101,0.81,0.100809358293624,0.95
"s41","VeryDifficult",0.2,"A","A","row","err_rate",0.141614849995972,0.585,0.0395001053639061,0.95
"s41","VeryDifficult",0.2,"A","A","row","inc_rate",0.600234693303858,0.43,0.0350068766281371,0.95
"s42","VeryDifficult",0.2,"B","B","cset","err_rate",0.19681596770381,0.81,0.0803052210081633,0.95
"s42","VeryDifficult",0.2,"B","B","cset","inc_rate",0.685721830131021,0.8,0.0983768502181282,0.95
"s42","VeryDifficult",0.2,"B","B","examiner","err_rate",0.196309498902469,0.87,0.0953443296588699,0.95
"s42","VeryDifficult",0.2,"B","B","examiner","inc_rate",0.686295885803165,0.76,0.089252938411955,0.95
"s42","VeryDifficult",0.2,"B","B","row","err_rate",0.196130292520389,0.615,0.0509433143052887,0.95
"s42","VeryDifficult",0.2,"B","B","row","inc_rate",0.686486087848614,0.4,0.0331977180260462,0.95
"s43","VeryDifficult",0.2,"C","C","cset","err_rate",0.260565951862844,0.85,0.118439967392033,0.95
"s43","VeryDifficult",0.2,"C","C","cset","inc_rate",0.757186661742293,0.84,0.0959253377890003,0.95
"s43","VeryDifficult",0.2,"C","C","examiner","err_rate",0.258481551750744,0.845,0.112838308710513,0.95
